scraped_at,name,address,suburb,state,postcode,phone,website,rating,review_count,opening_hours,after_hours,emergency,service_types,email,facebook,instagram,latitude,longitude,source
2026-02-22T21:40:35,Penguin Veterinary Centre,7 Crescent St,Penguin,TAS,7316,(03) 6437 1331,www.penguinvet.com.au,4.0,4,Open until 5:15pm (snapshot),Unknown,Unknown,Mixed practice (all animals; birds; wildlife),,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Animal Medical Centre,266 Charles St,Launceston,TAS,7250,(03) 6331 9405,www.animalmedicaltas.com.au,,,Open until 7:00pm (snapshot),Yes (listed as 24 hours emergency service),24 hours emergency service (listing),Small animal; emergency,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Ulverstone Veterinary Clinic,54 Alexandra Rd,Ulverstone,TAS,7315,(03) 6425 2248,www.ulverstonevet.com.au,,,Open until 5:30pm (snapshot),Unknown,Unknown,Mixed practice (companion + large animal experience),,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Sandy Bay Holistic Veterinary Centre,11 Gregory St,Sandy Bay,TAS,7005,(03) 6224 0855,www.sandybayholisticvet.com.au,,,Open until 7:00pm (snapshot),Unknown,Unknown,Small animal; holistic therapies,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Lindisfarne Veterinary Clinic,27 Lincoln St,Lindisfarne,TAS,7015,(03) 6243 0083,lindisfarnevet.com.au,,,Open until 6:30pm (snapshot),Unknown,Unknown,Small animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Springfield Veterinary Centre and Hospital,31 Springfield Ave,Moonah West,TAS,7009,(03) 6272 9090,www.springfieldvet.com.au,5.0,1,Open until 6:00pm (snapshot),Unknown,Unknown,Small animal; hospital,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Hobart Community Veterinary Hospital,8-10 Colebrook St,Lenah Valley,TAS,7008,(03) 6228 2416,www.hobartcommunityvetclinic.com.au,5.0,3,Open until 6:00pm (snapshot),Unknown,Unknown,Small animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Eastern Shore Veterinary Hospital,58 Bligh St,Rosny Park,TAS,7018,(03) 6244 3366,www.easternshorevet.com.au,,,Open evenings & Saturdays; normal fees until 7pm weekdays (listing text),Yes (listing mentions after-hours),After-hours service: ring AHVEC 1300 302 912 (listing text),Small animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,East Coast Veterinary Clinic,67 Quail St,St Helens,TAS,7216,(03) 6376 1577,www.eastcoastvetclinic.com.au,5.0,8,Open until 5:00pm (snapshot),Unknown,Unknown,Small animal; house calls (listing),,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Claremont Veterinary Surgery,2/55 Main Rd,Claremont,TAS,7011,(03) 6289 5262,www.claremontvetsurgery.com.au,,,Open until 7:00pm (snapshot),Unknown,Unknown,Small animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Sheffield Veterinary Clinic,36 Main St,Sheffield,TAS,7306,(03) 6491 1556,,,,Open until 5:00pm (snapshot),Unknown,Unknown,Mixed/General,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,North Hobart Veterinary Hospital,223 Elizabeth St,North Hobart,TAS,7000,(03) 6234 7044,www.nhvh.com.au,,,Open until 7:00pm (snapshot),Unknown,Unknown,Small animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Kingston Animal Hospital,1 Freeman St,Kingston,TAS,7050,(03) 6229 5900,www.kingstonanimalhospital.com.au,,,Open until 6:00pm (snapshot),Unknown,Unknown,Small animal; (mixed per some sources),,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,North West Animal Hospital & Clinic,115 Steele St,Devonport,TAS,7310,(03) 6424 9888,northwestanimalhospital.com.au,,,Open until 6:00pm (snapshot),Unknown,Unknown,Small animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Deloraine Veterinary Centre,21/23 Beefeater St,Deloraine,TAS,7304,(03) 6362 2108,meandervets.com.au,,,Open until 5:30pm (snapshot),Unknown,Unknown,Mixed/General,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Sorell Veterinary Centre,11A Gordon St,Sorell,TAS,7172,(03) 6269 2323,www.sorellveterinarycentre.com.au,,,Open until 5:30pm (snapshot),Unknown,Unknown,Small animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Burnie Veterinary Centre,250 Mount St,Upper Burnie,TAS,7320,(03) 6431 5875,burnievetcentre.com.au,,,Open until 6:00pm (snapshot),Unknown,Unknown,Small animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Dr Katrina Ward BVSc MANZCVS CMAVA,,Dynnyrne,TAS,7005,0439 963 300,www.katrinaward.com.au,,,Open by appt (snapshot),Unknown,Unknown,Veterinary surgeon (individual),,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Scottsdale Veterinary Services Pty Ltd,8 Charles St,Scottsdale,TAS,7260,(03) 6352 2996,www.scottsdalevets.com.au,,,Open until 5:00pm (snapshot),Unknown,Unknown,Mixed/General,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Kings Meadows Veterinary Clinic,207 Hobart Rd,Kings Meadows,TAS,7249,(03) 6344 5366,,5.0,1,Open until 6:30pm (snapshot),Unknown,Unknown,Small animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Smithton Veterinary Service,3 Rubicon St,Smithton,TAS,7330,(03) 6452 1054,www.smithtonvet.com.au,,,Open until 5:00pm (snapshot),Unknown,Unknown,Mixed/General,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Forbes Street Veterinary Clinic,48-50 Forbes St,Devonport,TAS,7310,(03) 6424 1675,www.forbesstvet.com.au,3.0,4,Open until 6:00pm (snapshot),Unknown,Unknown,Small animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Tasmanian Animal Hospitals,29 Clarence St,Bellerive,TAS,7018,(03) 6244 7667,www.tasanimalhospitals.com.au,,,Open until 6:30pm (snapshot),Unknown,Unknown,Small animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Southern Beaches Vet,4 Parnella Rd,Dodges Ferry,TAS,7173,0498 741 328,www.facebook.com (listing),5.0,1,,Unknown,Unknown,Small animal,,Facebook (listing),,,,Yellow Pages TAS listing
2026-02-22T21:40:35,The Cat Clinic Hobart,,Taroona,TAS,7053,(03) 6227 8000,www.catvethobart.com.au,,,,Unknown,Unknown,Cats-only,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Channel Highway Animal Hospital,170 Channel Hwy,Kingston,TAS,7050,(03) 6229 7939,,,,Open until 6:00pm (snapshot),Unknown,Unknown,Small animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Launceston Veterinary Hospital,351 Wellington St,South Launceston,TAS,7249,(03) 6344 4566,,,,Open until 8:00pm (snapshot),Unknown,Unknown,Small animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Mayfair Veterinary Clinic,2 Russell Cres,Sandy Bay,TAS,7005,(03) 6224 4244,www.mayfairvetclinic.com.au,,,,Unknown,Unknown,Small animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Longford Equine Clinic,97 Brickendon St,Longford,TAS,7301,(03) 6391 1000,longfordequine.com.au,,,,Unknown,Unknown,Equine; large animal,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Lilydale-Karoola Veterinary Service,Main Rd,Lilydale,TAS,7268,(03) 6395 1271,www.scottsdalevets.com.au (listing),,,,Unknown,Unknown,Mixed/General,,,,,,Yellow Pages TAS listing
2026-02-22T21:40:35,Exeter Animal Hospital,63 Main St,Exeter,TAS,7275,(03) 6394 4734,,,,Open until 5:00pm (snapshot),Unknown,Unknown,Small animal,,,,,,Yellow Pages TAS listing
